key,registration-moment,passenger-email,description,type,draft-mode,key:assistance-agent,key:flight-leg
claim-19,2012/07/02 00:00,acme@lorem-ipsum.org,<script>alert(‘Hacked!’);</script>,FLIGHT_ISSUES,TRUE,agent-01,flight-leg-04
claim-20,2012/07/02 00:00,acme@lorem-ipsum.org,' or 'A' = 'A,FLIGHT_ISSUES,TRUE,agent-01,flight-leg-04
# type - standard variations,"","","","",""
claim-21,2012/07/02 00:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",LUGGAGE_ISSUES,TRUE,agent-01,flight-leg-04
claim-22,2012/07/02 00:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",SECURITY_INCIDENT,TRUE,agent-01,flight-leg-04
claim-23,2012/07/02 00:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",OTHER_ISSUES,TRUE,agent-01,flight-leg-04
# status - standard variations,"","","","",""
claim-24,2012/07/02 00:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,TRUE,agent-01,flight-leg-01
claim-25,2012/07/02 00:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,TRUE,agent-01,flight-leg-01
# draft-mode - standard variations,"","","","","",""
claim-26,2012/07/02 00:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,TRUE,agent-01,flight-leg-04
# assistance-agent - standard variations,"","","","","",""
claim-27,2012/07/02 00:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,TRUE,agent-02,flight-leg-04
# flight-leg- standard variations,"","","","","",""
claim-28,2012/07/02 00:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,TRUE,agent-01,flight-leg-11
